,lead,phase2,phase3,closed
644,2015-09-03,2015-10-18,2015-11-08,2015-11-18
645,2015-09-04,,,
646,2015-09-06,2015-10-21,2015-10-26,2015-10-26
647,2015-09-07,2015-09-17,2015-09-26,2015-09-26
648,2015-09-08,,,
649,2015-09-09,2015-11-06,2015-12-04,2015-12-04
650,2015-09-10,2015-10-27,2015-11-21,2015-11-21
651,2015-09-12,,,
652,2015-09-13,,,
653,2015-09-14,2015-11-09,2015-11-30,2015-11-30
654,2015-09-15,2015-09-16,2015-09-16,2015-09-16
655,2015-09-16,2015-10-17,2015-10-17,2015-10-17
656,2015-09-17,,,
657,2015-09-18,,,
658,2015-09-19,,,
659,2015-09-22,2015-11-10,2015-11-17,2015-11-17
660,2015-09-23,2015-10-30,2015-11-09,2015-11-09
661,2015-09-24,,,
662,2015-09-25,,,
663,2015-09-26,2015-11-17,2015-11-18,2015-12-17
664,2015-09-28,2015-11-19,2015-12-23,2015-12-23
665,2015-09-29,2015-10-18,2015-11-02,2015-11-02
666,2015-09-30,2015-11-18,2015-11-30,2015-12-08
667,2015-10-01,2015-11-28,2015-12-27,2015-12-27
668,2015-10-02,2015-12-02,2015-12-19,2015-12-19
669,2015-10-03,,,
670,2015-10-04,,,
671,2015-10-05,2015-10-19,2015-11-08,2015-11-08
672,2015-10-06,,,
673,2015-10-07,2015-11-14,2015-12-12,2015-12-12
674,2015-10-08,2015-10-09,2015-11-10,2015-11-10
675,2015-10-09,2015-11-29,2015-12-23,2016-01-02
676,2015-10-10,2015-10-31,2015-11-17,2015-12-13
677,2015-10-11,2015-11-30,2015-12-15,2015-12-15
678,2015-10-12,2015-11-30,2015-11-30,2015-11-30
679,2015-10-13,2015-12-05,2015-12-26,2015-12-26
680,2015-10-14,,,
681,2015-10-15,,,
682,2015-10-16,2015-11-22,2015-11-22,2015-11-22
683,2015-10-17,,,
684,2015-10-18,2015-12-25,2016-01-06,2016-01-06
685,2015-10-19,2015-10-26,2015-11-23,2015-12-05
686,2015-10-20,2015-12-03,2015-12-27,2015-12-27
687,2015-10-21,,,
688,2015-10-22,,,
689,2015-10-23,2015-11-05,2015-11-05,2015-11-05
690,2015-10-25,,,
691,2015-10-27,2015-11-28,2015-12-18,2016-01-08
692,2015-10-28,2015-12-18,2016-01-08,2016-02-02
693,2015-10-29,2015-12-05,2015-12-05,2015-12-05
694,2015-10-30,2015-11-24,2015-12-19,2016-01-04
695,2015-11-01,2015-12-01,2015-12-30,2016-01-09
696,2015-11-02,2015-12-27,2016-01-06,2016-01-08
697,2015-11-03,,,
698,2015-11-04,,,
699,2015-11-05,2015-12-09,2016-01-23,2016-01-25
700,2015-11-06,2015-12-10,2015-12-10,2015-12-10
701,2015-11-08,2015-12-24,2016-01-11,2016-01-29
702,2015-11-09,,,
703,2015-11-10,2015-12-01,2015-12-09,2015-12-09
704,2015-11-11,,,
705,2015-11-15,2015-12-23,2016-01-16,2016-01-16
706,2015-11-16,2015-12-16,2016-01-15,2016-01-15
707,2015-11-18,2015-12-01,2016-01-08,2016-01-08
708,2015-11-19,2016-01-23,2016-02-29,2016-02-29
709,2015-11-20,,,
710,2015-11-21,2015-12-10,2015-12-31,2015-12-31
711,2015-11-22,,,
712,2015-11-23,,,
713,2015-11-24,,,
714,2015-11-25,2016-01-10,2016-01-10,2016-01-10
715,2015-11-27,,,
716,2015-11-28,2015-11-29,2015-12-05,2015-12-05
717,2015-11-29,2016-01-17,2016-01-17,2016-01-17
718,2015-11-30,,,
719,2015-12-02,2016-01-10,2016-02-01,2016-02-13
720,2015-12-03,2016-01-21,2016-02-26,2016-02-26
721,2015-12-04,2016-01-10,2016-01-13,2016-01-13
722,2015-12-05,,,
723,2015-12-06,2016-01-15,2016-01-28,2016-01-28
724,2015-12-07,,,
725,2015-12-08,,,
726,2015-12-09,2016-01-19,2016-01-27,2016-01-27
727,2015-12-10,,,
728,2015-12-11,,,
729,2015-12-12,2016-01-14,2016-02-09,2016-02-09
730,2015-12-13,,,
731,2015-12-14,,,
732,2015-12-15,,,
733,2015-12-16,,,
734,2015-12-18,2016-01-13,2016-02-05,2016-02-05
735,2015-12-19,,,
736,2015-12-20,2016-02-12,2016-03-09,2016-03-22
737,2015-12-21,,,
738,2015-12-22,2016-01-15,2016-01-24,2016-02-06
739,2015-12-23,2016-01-12,2016-02-06,2016-02-16
740,2015-12-24,2016-02-12,2016-03-07,2016-03-07
741,2015-12-25,2016-02-04,2016-02-08,2016-02-08
742,2015-12-26,2016-01-18,2016-01-18,2016-01-18
743,2015-12-27,2016-02-01,2016-02-02,2016-02-02
744,2015-12-28,2016-01-20,2016-02-06,2016-02-19
745,2015-12-29,,,
746,2015-12-30,2016-01-30,2016-02-24,2016-02-24
747,2015-12-31,,,
748,2016-01-01,,,
749,2016-01-02,2016-02-27,2016-04-02,2016-04-02
750,2016-01-03,2016-03-07,2016-03-07,2016-03-07
751,2016-01-05,,,
752,2016-01-07,,,
753,2016-01-08,2016-01-21,2016-02-18,2016-02-18
754,2016-01-10,2016-02-08,2016-03-06,2016-03-12
755,2016-01-11,2016-02-14,2016-03-01,2016-03-10
756,2016-01-12,,,
757,2016-01-13,,,
758,2016-01-14,,,
759,2016-01-15,,,
760,2016-01-16,,,
761,2016-01-17,2016-01-21,2016-01-22,2016-02-09
762,2016-01-18,,,
763,2016-01-19,2016-02-13,2016-03-16,2016-03-16
764,2016-01-20,,,
765,2016-01-21,,,
766,2016-01-22,,,
767,2016-01-23,2016-03-03,2016-04-02,2016-04-22
768,2016-01-24,2016-02-28,2016-04-09,2016-04-09
769,2016-01-26,2016-02-19,2016-03-02,2016-03-23
770,2016-01-28,2016-02-26,2016-03-27,2016-03-27
771,2016-01-29,2016-02-29,2016-02-29,2016-02-29
772,2016-01-30,2016-03-18,2016-04-04,2016-04-24
773,2016-01-31,,,
774,2016-02-01,,,
775,2016-02-02,2016-03-06,2016-03-23,2016-03-23
776,2016-02-03,,,
777,2016-02-05,,,
778,2016-02-06,2016-03-25,2016-04-23,2016-04-23
779,2016-02-07,2016-02-08,2016-03-06,2016-03-07
780,2016-02-08,2016-03-24,2016-04-23,2016-04-23
781,2016-02-09,2016-03-30,2016-04-19,2016-05-04
782,2016-02-10,2016-03-26,2016-04-21,2016-04-21
783,2016-02-12,2016-03-10,2016-04-04,2016-04-04
784,2016-02-13,2016-03-03,2016-03-03,2016-03-03
785,2016-02-15,2016-03-17,2016-04-23,2016-05-11
786,2016-02-16,2016-03-24,2016-04-25,2016-04-25
787,2016-02-17,2016-04-04,2016-05-20,2016-06-04
788,2016-02-18,2016-02-29,2016-03-30,2016-03-30
789,2016-02-20,2016-03-24,2016-03-30,2016-03-30
790,2016-02-21,,,
791,2016-02-22,,,
792,2016-02-23,2016-04-03,2016-04-03,2016-04-03
793,2016-02-24,,,
794,2016-02-27,2016-03-29,2016-04-10,2016-04-10
795,2016-02-28,2016-04-19,2016-04-19,2016-04-19
796,2016-02-29,2016-04-08,2016-05-26,2016-05-26
797,2016-03-01,,,
798,2016-03-02,,,
799,2016-03-03,2016-04-16,2016-05-17,2016-06-09
800,2016-03-04,,,
801,2016-03-05,2016-04-01,2016-04-14,2016-04-14
802,2016-03-06,,,
803,2016-03-09,2016-04-14,2016-04-30,2016-04-30
804,2016-03-10,2016-05-06,2016-05-29,2016-05-29
805,2016-03-11,2016-04-25,2016-05-31,2016-06-01
806,2016-03-12,,,
807,2016-03-13,2016-04-20,2016-05-10,2016-05-10
808,2016-03-14,2016-04-08,2016-05-04,2016-05-04
809,2016-03-15,2016-04-20,2016-05-17,2016-06-03
810,2016-03-16,,,
811,2016-03-17,2016-04-28,2016-05-30,
812,2016-03-18,2016-04-20,2016-06-01,2016-06-09
813,2016-03-19,,,
814,2016-03-21,2016-04-14,2016-05-21,2016-05-29
815,2016-03-23,2016-04-17,2016-05-20,2016-05-20
816,2016-03-24,,,
817,2016-03-26,,,
818,2016-03-27,2016-04-12,2016-04-21,2016-04-21
819,2016-03-28,2016-04-23,2016-05-28,2016-05-28
820,2016-03-30,2016-04-25,2016-04-25,2016-04-25
821,2016-04-01,,,
822,2016-04-02,2016-05-08,2016-05-08,2016-05-08
823,2016-04-03,2016-04-23,2016-05-03,2016-05-18
824,2016-04-04,2016-05-26,2016-06-13,2016-06-13
825,2016-04-06,,,
826,2016-04-07,2016-05-20,,
827,2016-04-08,2016-05-24,,
828,2016-04-10,,,
829,2016-04-12,,,
830,2016-04-13,2016-05-09,2016-05-30,
831,2016-04-15,2016-05-12,2016-06-06,2016-06-06
832,2016-04-16,,,
833,2016-04-17,,,
834,2016-04-18,,,
835,2016-04-19,2016-05-05,2016-05-05,2016-05-05
836,2016-04-20,,,
837,2016-04-21,,,
838,2016-04-23,2016-05-21,2016-05-21,2016-05-21
839,2016-04-24,2016-05-20,2016-05-22,2016-05-22
840,2016-04-25,2016-05-09,,
841,2016-04-26,,,
842,2016-04-27,,,
843,2016-04-28,,,
844,2016-04-29,2016-06-14,,
845,2016-05-01,,,
846,2016-05-03,,,
847,2016-05-04,2016-06-13,,
848,2016-05-06,2016-05-23,,
849,2016-05-07,,,
850,2016-05-09,2016-05-10,2016-06-08,
851,2016-05-11,,,
852,2016-05-12,,,
853,2016-05-13,2016-05-24,,
854,2016-05-14,,,
855,2016-05-15,2016-06-09,2016-06-11,2016-06-11
856,2016-05-16,,,
857,2016-05-17,,,
858,2016-05-18,2016-06-12,,
859,2016-05-20,,,
860,2016-05-21,2016-06-11,,
861,2016-05-23,2016-05-28,,
862,2016-05-24,2016-06-09,,
863,2016-05-25,,,
864,2016-05-26,,,
865,2016-05-27,2016-06-09,,
866,2016-05-28,,,
867,2016-05-29,,,
868,2016-05-30,,,
869,2016-06-01,,,
870,2016-06-03,2016-06-15,,
871,2016-06-04,,,
872,2016-06-05,,,
873,2016-06-06,,,
874,2016-06-09,,,
875,2016-06-11,,,
876,2016-06-13,,,
877,2016-06-15,,,
878,2015-06-17,,,
879,2015-06-20,2015-08-10,2015-08-10,2015-08-10
880,2015-06-21,2015-08-01,2015-08-01,2015-08-01
881,2015-06-23,,,
882,2015-06-24,2015-07-27,2015-07-27,2015-07-27
883,2015-06-25,2015-08-14,2015-08-29,2015-08-29
884,2015-06-26,2015-08-18,2015-08-18,2015-08-18
885,2015-06-27,2015-07-30,2015-07-31,2015-07-31
886,2015-06-29,2015-07-23,2015-07-23,2015-07-23
887,2015-07-01,,,
888,2015-07-03,2015-08-30,2015-09-08,2015-09-24
889,2015-07-05,2015-08-03,2015-08-03,2015-08-03
890,2015-07-06,,,
891,2015-07-07,2015-09-05,2015-09-23,2015-10-01
892,2015-07-09,,,
893,2015-07-10,2015-08-24,2015-09-13,2015-09-20
894,2015-07-11,,,
895,2015-07-13,2015-08-19,2015-09-08,2015-09-08
896,2015-07-14,2015-09-15,2015-09-29,2015-09-29
897,2015-07-16,,,
898,2015-07-17,2015-09-03,2015-09-03,2015-09-03
899,2015-07-18,,,
900,2015-07-19,2015-08-31,2015-09-24,2015-10-04
901,2015-07-20,2015-09-20,2015-09-20,2015-09-20
902,2015-07-21,2015-08-22,2015-08-22,2015-08-22
903,2015-07-22,2015-09-02,2015-09-02,2015-09-02
904,2015-07-23,2015-08-18,2015-08-18,2015-08-18
905,2015-07-26,,,
906,2015-07-27,2015-09-08,2015-09-08,2015-09-08
907,2015-07-29,,,
908,2015-07-30,2015-09-15,2015-09-15,2015-09-15
909,2015-07-31,2015-08-06,2015-08-06,2015-08-06
910,2015-08-02,2015-09-12,2015-09-12,2015-09-12
911,2015-08-03,2015-10-02,2015-10-23,2015-11-14
912,2015-08-04,2015-09-19,2015-09-19,2015-09-19
913,2015-08-05,2015-09-09,2015-10-10,2015-10-10
914,2015-08-06,2015-09-21,2015-09-21,2015-09-21
915,2015-08-07,,,
916,2015-08-08,2015-09-03,2015-09-27,2015-09-27
917,2015-08-09,2015-10-11,2015-11-08,2015-11-08
918,2015-08-10,2015-09-08,2015-09-08,2015-09-08
919,2015-08-12,2015-10-02,2015-10-02,2015-10-02
920,2015-08-14,2015-09-03,2015-09-03,2015-09-03
921,2015-08-15,2015-10-02,2015-10-09,2015-10-09
922,2015-08-18,2015-09-01,2015-09-01,2015-09-01
923,2015-08-21,2015-09-27,2015-09-27,2015-09-27
924,2015-08-22,2015-09-26,2015-09-30,2015-09-30
925,2015-08-23,2015-09-26,2015-10-26,2015-10-26
926,2015-08-24,,,
927,2015-08-25,,,
928,2015-08-26,2015-10-01,2015-10-01,2015-10-01
929,2015-08-27,2015-11-05,2015-12-06,2015-12-17
930,2015-08-29,2015-09-13,2015-09-13,2015-09-13
931,2015-08-31,2015-10-02,2015-10-21,2015-10-21
932,2015-09-01,2015-10-20,2015-10-20,2015-10-20
933,2015-09-02,2015-11-06,2015-11-06,2015-11-06
934,2015-09-03,,,
935,2015-09-04,2015-10-13,2015-10-13,2015-10-13
936,2015-09-05,,,
937,2015-09-06,,,
938,2015-09-07,2015-09-24,2015-09-24,2015-09-24
939,2015-09-08,,,
940,2015-09-09,2015-11-01,2015-12-05,2015-12-05
941,2015-09-10,2015-11-01,2015-11-01,2015-11-01
942,2015-09-12,2015-10-29,2015-10-31,2015-10-31
943,2015-09-13,2015-11-03,2015-11-03,2015-11-03
944,2015-09-14,2015-10-27,2015-11-07,2015-11-07
945,2015-09-15,2015-11-01,2015-11-20,2015-11-20
946,2015-09-16,2015-10-19,2015-10-20,2015-11-06
947,2015-09-17,2015-09-25,2015-09-25,2015-09-25
948,2015-09-18,2015-11-06,2015-12-09,2015-12-24
949,2015-09-19,,,
950,2015-09-21,2015-11-17,2015-11-17,2015-11-17
951,2015-09-22,2015-11-05,2015-11-05,2015-11-05
952,2015-09-23,2015-11-18,2015-11-24,2015-12-01
953,2015-09-25,,,
954,2015-09-26,,,
955,2015-09-27,,,
956,2015-09-28,,,
957,2015-09-30,2015-10-21,2015-11-18,2015-12-03
958,2015-10-02,,,
959,2015-10-03,2015-11-19,2015-12-22,2015-12-22
960,2015-10-06,,,
961,2015-10-07,2015-11-12,2015-12-30,2016-01-23
962,2015-10-08,2015-11-03,2015-11-24,2015-12-03
963,2015-10-09,2015-11-09,2015-11-23,2015-11-23
964,2015-10-11,,,
965,2015-10-12,2015-10-13,2015-11-15,2015-11-16
966,2015-10-13,2015-11-12,2015-12-03,2015-12-03
967,2015-10-14,2015-11-23,2015-12-27,2015-12-27
968,2015-10-16,2015-12-04,2015-12-18,2016-01-12
969,2015-10-17,2015-11-01,2015-11-01,2015-11-01
970,2015-10-18,2015-12-15,2016-01-05,2016-01-05
971,2015-10-19,2015-12-02,2015-12-21,2015-12-21
972,2015-10-20,2015-11-11,2015-12-06,2015-12-12
973,2015-10-21,2015-12-21,2016-01-22,2016-01-25
974,2015-10-22,2015-11-23,2015-12-08,2015-12-08
975,2015-10-23,,,
976,2015-10-24,,,
977,2015-10-25,2015-11-24,2015-12-17,2015-12-17
978,2015-10-26,2015-12-04,2015-12-16,2015-12-16
979,2015-10-27,2015-11-25,2015-12-17,2015-12-17
980,2015-10-28,,,
981,2015-10-29,,,
982,2015-10-30,2015-12-05,2015-12-05,2015-12-05
983,2015-10-31,2015-11-26,2015-12-11,2015-12-11
984,2015-11-01,2015-12-25,2016-01-18,2016-01-18
985,2015-11-03,2015-12-25,2015-12-25,2015-12-25
986,2015-11-04,,,
987,2015-11-05,,,
988,2015-11-07,2016-01-03,2016-01-26,2016-01-26
989,2015-11-08,2015-12-17,2016-01-02,2016-01-20
990,2015-11-10,,,
991,2015-11-11,2015-12-16,2016-01-06,2016-01-06
992,2015-11-12,2016-01-02,2016-01-11,2016-01-11
993,2015-11-13,2016-01-02,2016-01-10,2016-01-22
994,2015-11-14,2015-12-11,2016-01-05,2016-01-05
995,2015-11-15,2015-12-15,2016-01-20,2016-01-20
996,2015-11-16,2015-12-16,2016-01-06,2016-01-06
997,2015-11-17,,,
998,2015-11-18,,,
999,2015-11-19,2015-12-15,2016-01-11,2016-01-11
1000,2015-11-20,2016-01-11,2016-02-10,2016-03-04
1001,2015-11-21,2016-01-08,2016-01-11,2016-01-11
1002,2015-11-22,2015-12-21,2016-01-28,2016-01-28
1003,2015-11-25,,,
1004,2015-11-26,2015-11-27,2015-12-13,2015-12-13
1005,2015-11-27,2015-11-29,2015-12-07,2015-12-15
1006,2015-11-28,,,
1007,2015-11-29,,,
1008,2015-11-30,2015-12-25,2016-01-08,2016-01-23
1009,2015-12-01,,,
1010,2015-12-02,,,
1011,2015-12-03,2016-01-22,2016-02-06,2016-02-06
1012,2015-12-04,,,
1013,2015-12-05,,,
1014,2015-12-06,2016-01-20,2016-01-20,2016-01-20
1015,2015-12-07,2016-01-28,2016-01-29,2016-02-14
1016,2015-12-08,2016-01-03,2016-02-02,2016-03-01
1017,2015-12-09,,,
1018,2015-12-10,,,
1019,2015-12-13,,,
1020,2015-12-14,,,
1021,2015-12-16,2016-02-10,2016-02-22,2016-02-22
1022,2015-12-17,2016-02-12,2016-02-14,2016-02-27
1023,2015-12-18,2015-12-30,2016-01-26,2016-02-15
1024,2015-12-19,2016-01-09,2016-01-10,2016-01-10
1025,2015-12-20,,,
1026,2015-12-21,2015-12-22,2016-01-07,2016-01-31
1027,2015-12-23,,,
1028,2015-12-24,,,
1029,2015-12-25,2016-01-26,2016-03-01,2016-03-24
1030,2015-12-26,2016-02-19,2016-02-19,2016-02-19
1031,2015-12-27,2016-01-28,2016-03-01,2016-03-01
1032,2015-12-28,2016-02-09,2016-02-09,2016-02-09
1033,2015-12-29,,,
1034,2015-12-30,,,
1035,2015-12-31,,,
1036,2016-01-01,,,
1037,2016-01-02,,,
1038,2016-01-04,2016-02-13,2016-02-15,2016-02-15
1039,2016-01-05,,,
1040,2016-01-06,2016-02-12,2016-03-11,2016-03-11
1041,2016-01-07,2016-02-20,2016-03-23,2016-04-03
1042,2016-01-08,2016-02-29,2016-03-26,2016-03-26
1043,2016-01-09,2016-03-19,2016-04-04,2016-04-04
1044,2016-01-10,2016-02-22,2016-03-04,2016-03-04
1045,2016-01-11,2016-02-18,2016-02-18,2016-02-18
1046,2016-01-12,2016-01-31,2016-02-16,2016-02-16
1047,2016-01-13,2016-03-09,2016-03-24,2016-04-04
1048,2016-01-14,,,
1049,2016-01-15,2016-02-09,2016-02-09,2016-02-09
1050,2016-01-19,,,
1051,2016-01-21,2016-02-22,2016-03-24,2016-03-24
1052,2016-01-22,,,
1053,2016-01-23,2016-02-16,2016-03-15,2016-03-15
1054,2016-01-24,2016-02-25,2016-03-17,2016-03-17
1055,2016-01-25,,,
1056,2016-01-26,2016-02-12,2016-02-18,2016-02-18
1057,2016-01-27,2016-01-28,2016-02-27,2016-03-11
1058,2016-01-28,2016-02-12,2016-03-14,2016-03-14
1059,2016-01-29,2016-02-07,2016-03-08,2016-03-08
1060,2016-01-30,2016-02-12,2016-03-20,2016-03-20
1061,2016-01-31,2016-03-19,2016-04-24,2016-04-24
1062,2016-02-01,2016-03-25,2016-04-23,2016-04-23
1063,2016-02-03,2016-03-17,2016-03-29,2016-03-29
1064,2016-02-04,2016-03-04,2016-03-04,2016-03-04
1065,2016-02-05,2016-02-24,2016-03-24,2016-04-08
1066,2016-02-06,2016-03-01,2016-04-10,2016-04-10
1067,2016-02-07,,,
1068,2016-02-08,2016-03-25,2016-04-15,2016-04-15
1069,2016-02-13,2016-04-02,2016-05-12,2016-05-12
1070,2016-02-16,2016-04-14,2016-05-01,2016-05-10
1071,2016-02-17,,,
1072,2016-02-18,2016-03-27,2016-04-16,2016-04-16
1073,2016-02-19,2016-03-31,2016-04-24,2016-04-24
1074,2016-02-20,2016-03-20,2016-04-16,2016-04-26
1075,2016-02-21,,,
1076,2016-02-23,2016-03-24,2016-04-25,2016-05-07
1077,2016-02-24,,,
1078,2016-02-25,2016-03-29,2016-04-20,2016-04-27
1079,2016-02-26,2016-03-17,2016-04-16,2016-04-16
1080,2016-02-28,,,
1081,2016-02-29,,,
1082,2016-03-01,2016-04-01,2016-05-07,2016-05-28
1083,2016-03-03,2016-03-26,2016-04-13,2016-04-13
1084,2016-03-04,,,
1085,2016-03-07,,,
1086,2016-03-08,2016-04-20,2016-05-01,2016-05-01
1087,2016-03-10,,,
1088,2016-03-11,2016-03-12,2016-04-04,2016-04-04
1089,2016-03-12,2016-04-08,2016-05-31,2016-05-31
1090,2016-03-14,2016-04-24,2016-05-09,2016-05-09
1091,2016-03-15,2016-05-30,,
1092,2016-03-16,,,
1093,2016-03-17,2016-04-12,2016-05-02,2016-05-02
1094,2016-03-18,,,
1095,2016-03-19,2016-04-23,2016-06-09,2016-06-10
1096,2016-03-20,2016-03-29,2016-05-04,2016-05-04
1097,2016-03-21,,,
1098,2016-03-24,,,
1099,2016-03-25,2016-04-14,2016-04-26,2016-05-13
1100,2016-03-26,2016-05-07,2016-06-09,2016-06-09
1101,2016-03-28,2016-04-23,2016-04-23,2016-04-23
1102,2016-03-29,2016-04-21,2016-05-25,2016-05-30
1103,2016-04-02,2016-04-25,2016-04-25,2016-04-25
1104,2016-04-03,,,
1105,2016-04-04,2016-05-25,,
1106,2016-04-05,,,
1107,2016-04-06,2016-04-27,2016-04-27,2016-04-27
1108,2016-04-07,,,
1109,2016-04-08,,,
1110,2016-04-09,,,
1111,2016-04-10,2016-06-01,2016-06-01,2016-06-01
1112,2016-04-11,2016-05-09,2016-06-08,2016-06-08
1113,2016-04-12,,,
1114,2016-04-13,2016-05-18,2016-06-11,2016-06-11
1115,2016-04-14,2016-05-10,2016-06-10,2016-06-10
1116,2016-04-15,2016-05-28,,
1117,2016-04-16,2016-06-13,2016-06-13,2016-06-13
1118,2016-04-17,2016-05-17,2016-06-02,
1119,2016-04-18,,,
1120,2016-04-20,2016-05-27,,
1121,2016-04-21,,,
1122,2016-04-22,2016-05-10,2016-05-31,2016-05-31
1123,2016-04-23,,,
1124,2016-04-24,,,
1125,2016-04-25,2016-06-02,,
1126,2016-04-26,2016-06-05,,
1127,2016-04-27,2016-05-14,2016-05-14,2016-05-14
1128,2016-04-28,2016-06-13,2016-06-13,2016-06-13
1129,2016-04-29,2016-06-01,,
1130,2016-04-30,2016-05-31,,
1131,2016-05-01,,,
1132,2016-05-02,2016-06-07,2016-06-07,2016-06-07
1133,2016-05-03,,,
1134,2016-05-04,2016-06-04,,
1135,2016-05-05,,,
1136,2016-05-06,,,
1137,2016-05-07,,,
1138,2016-05-10,,,
1139,2016-05-11,,,
1140,2016-05-14,,,
1141,2016-05-15,,,
1142,2016-05-17,2016-06-09,,
1143,2016-05-18,,,
1144,2016-05-19,2016-05-29,,
1145,2016-05-20,,,
1146,2016-05-21,2016-06-02,,
1147,2016-05-22,,,
1148,2016-05-23,,,
1149,2016-05-25,,,
1150,2016-05-26,,,
1151,2016-05-28,,,
1152,2016-05-29,,,
1153,2016-05-30,,,
1154,2016-05-31,,,
1155,2016-06-01,,,
1156,2016-06-02,2016-06-08,,
1157,2016-06-03,,,
1158,2016-06-04,,,
1159,2016-06-05,,,
1160,2016-06-06,,,
1161,2016-06-07,,,
1162,2016-06-08,2016-06-11,,
1163,2016-06-09,,,
1164,2016-06-10,,,
1165,2016-06-11,,,
1166,2016-06-12,,,
1167,2016-06-14,,,
1168,2016-06-15,,,
1169,2015-06-17,,,
1170,2015-06-18,,,
1171,2015-06-19,2015-07-16,2015-08-03,2015-08-18
1172,2015-06-20,2015-07-28,2015-08-04,2015-09-01
1173,2015-06-21,,,
1174,2015-06-22,,,
1175,2015-06-23,2015-07-12,2015-07-27,2015-07-27
1176,2015-06-24,,,
1177,2015-06-25,,,
1178,2015-06-26,2015-08-06,2015-09-08,2015-09-08
1179,2015-06-27,,,
1180,2015-06-28,,,
1181,2015-06-30,2015-08-14,2015-09-01,2015-09-13
1182,2015-07-01,2015-07-18,2015-08-16,2015-08-16
1183,2015-07-02,,,
1184,2015-07-04,2015-08-18,2015-09-17,2015-09-17
1185,2015-07-06,,,
1186,2015-07-07,2015-09-03,2015-09-04,2015-09-04
1187,2015-07-08,2015-07-30,2015-08-21,2015-08-21
1188,2015-07-09,2015-09-04,2015-09-11,2015-09-12
1189,2015-07-10,2015-08-06,2015-09-05,2015-09-05
1190,2015-07-11,2015-08-11,2015-09-08,2015-09-08
1191,2015-07-13,,,
1192,2015-07-14,2015-09-01,2015-09-01,2015-09-01
1193,2015-07-15,2015-10-04,2015-10-04,2015-10-04
1194,2015-07-16,2015-09-15,2015-09-16,2015-09-16
1195,2015-07-17,2015-08-04,2015-08-17,2015-08-17
1196,2015-07-18,2015-09-11,2015-09-11,2015-09-11
1197,2015-07-20,,,
1198,2015-07-21,,,
1199,2015-07-22,,,
1200,2015-07-23,,,
1201,2015-07-24,2015-08-25,2015-08-25,2015-08-25
1202,2015-07-25,2015-08-10,2015-09-21,2015-09-21
1203,2015-07-26,2015-10-08,2015-10-26,2015-10-26
1204,2015-07-28,,,
1205,2015-07-29,2015-09-04,2015-09-12,2015-09-12
1206,2015-07-31,2015-09-26,2015-10-14,2015-10-25
1207,2015-08-01,,,
1208,2015-08-02,,,
1209,2015-08-03,,,
1210,2015-08-04,,,
1211,2015-08-06,2015-09-23,2015-09-23,2015-09-23
1212,2015-08-07,,,
1213,2015-08-08,2015-09-17,2015-10-06,2015-10-21
1214,2015-08-09,2015-09-23,2015-09-23,2015-09-23
1215,2015-08-10,2015-08-29,2015-08-29,2015-08-29
1216,2015-08-11,2015-10-09,2015-11-01,2015-11-23
1217,2015-08-12,2015-10-07,2015-10-08,2015-10-08
1218,2015-08-13,,,
1219,2015-08-14,,,
1220,2015-08-15,,,
1221,2015-08-16,,,
1222,2015-08-17,,,
1223,2015-08-18,2015-09-21,2015-10-06,2015-10-06
1224,2015-08-20,,,
1225,2015-08-22,,,
1226,2015-08-23,,,
1227,2015-08-24,2015-10-08,2015-10-08,2015-10-08
1228,2015-08-26,,,
1229,2015-08-27,2015-10-17,2015-11-12,2015-11-20
1230,2015-08-28,2015-10-05,2015-10-30,2015-11-15
1231,2015-08-29,2015-09-30,2015-10-25,2015-10-25
1232,2015-09-01,,,
1233,2015-09-02,2015-11-01,2015-11-15,2015-12-01
1234,2015-09-03,2015-10-05,2015-10-05,2015-10-05
1235,2015-09-04,2015-10-03,2015-10-03,2015-10-03
1236,2015-09-05,2015-10-14,2015-10-14,2015-10-14
1237,2015-09-06,2015-09-27,2015-09-27,2015-09-27
1238,2015-09-07,2015-09-26,2015-10-17,2015-10-17
1239,2015-09-08,,,
1240,2015-09-09,2015-11-14,2015-11-26,2015-12-12
1241,2015-09-10,2015-10-29,2015-11-09,2015-11-09
1242,2015-09-12,2015-10-22,2015-10-22,2015-10-22
1243,2015-09-13,2015-10-17,2015-10-22,2015-10-22
1244,2015-09-15,2015-11-01,2015-11-26,2015-11-26
1245,2015-09-18,,,
1246,2015-09-19,,,
1247,2015-09-20,,,
1248,2015-09-21,2015-10-24,2015-10-24,2015-10-24
1249,2015-09-22,,,
1250,2015-09-23,2015-11-08,2015-12-06,2015-12-30
1251,2015-09-24,2015-11-18,2015-11-29,2015-11-29
1252,2015-09-29,2015-11-02,2015-11-14,2015-11-14
1253,2015-09-30,2015-10-31,2015-12-03,2015-12-04
1254,2015-10-01,,,
1255,2015-10-02,,,
1256,2015-10-03,,,
1257,2015-10-04,,,
1258,2015-10-05,,,
1259,2015-10-06,,,
1260,2015-10-08,2015-11-04,2015-11-28,2015-12-16
1261,2015-10-09,,,
1262,2015-10-10,2015-11-03,2015-11-25,2015-11-30
1263,2015-10-11,,,
1264,2015-10-13,2015-11-15,2015-12-06,2015-12-06
1265,2015-10-14,2015-11-10,2015-11-21,2015-12-08
1266,2015-10-15,,,
1267,2015-10-16,,,
1268,2015-10-17,2015-11-17,2015-11-27,2015-11-27
